row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
11424,8341,Sumitomo Corp,Japan Post Insurance Co Ltd,"Otemachi Place East Tower, 2-3-2, Ote-Machi, Chiyoda-Ku, Tokyo, 100-8601","Otemachi Place West Tower, 2-3-1, Ote-Machi, Chiyoda-Ku, Tokyo, 100-8794",,,,,,,,,1
11775,7998,H & A ENTERTAINMENTS LTD,R A K MANAGEMENT LIMITED,"Lawrence House, 5 St Andrews Hill, Norwich, Norfolk, NR2 1AD","Lawrence House, 5 St. Andrews Hill, Norwich, Norfolk, NR2 1AD",,,,,,,,,1
12172,263,SADIO S LIMITED,ALL ABOUT KIDS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,3444,SADIO S LIMITED,U BROWN LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,3775,SADIO S LIMITED,T & B ENGINEERING SOLUTIONS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,4375,SADIO S LIMITED,H & A ENGINEERING LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,4438,SADIO S LIMITED,BEAUTY BOOSTERS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,6594,SADIO S LIMITED,U EVENTS LIMITED,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,7607,SADIO S LIMITED,GOOD ADVICE DEBT COMPANY LIMITED,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12172,11053,SADIO S LIMITED,ALL ABOUT THE SAAS LTD,"71-75 Shelton Street, Covent Garden, London, England, WC2H 9JQ","71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,,,,,,,1
12354,4830,China Resources Pharmaceutical Group Ltd,China Resources Land Ltd,"Room 4104-05, 41f,China Resources Buldng, No. 26, Harbour Road, Wan Chai, Hong Kong","Room 4301, China Resources Building, 26 Harbour Road, Wanchai, Hong Kong",,,,,,,,,1
12526,6881,KEY WEST PROPERTY GROUP LTD,U G SALES LTD,"124 City Road, London, England, EC1V 2NX","124 City Road, London, United Kingdom, EC1V 2NX",,,,,,,,,1
12778,4188,Q DESIGN HOUSE LTD,Q DESIGN DEVELOPMENTS LTD,"22a Hill Street, Richmond, England, TW9 1TW","22a Hill Street, Richmond, United Kingdom, TW9 1TW",,,,,,,,,1
13025,3108,NEW AGE PLUMBING AND HEATING SERVICES LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
13096,3108,GOOD BEAGLE INTERNATIONAL LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
13282,1137,Google LLC,Alphabet Inc,"1600 Amphitheatre Parkway, Mountain View, California, 94043","1600 Amphitheatre Pkwy, Mountain View, California, 94043-1351",,,,,,,,,1
13786,6485,SOFTWARE SERVICE EUROPE LIMITED,BEAUTY & CARE SERVICES LIMITED,"69 Great Hampton Street, Birmingham, B18 6EW","69 Great Hampton Street, Birmingham, West Midlands, B18 6EW",,,,,,,,,1
13868,7347,GOOD & NOVEL LIMITED,SOFTWARE TECHNOLOGIES LTD,"C/O Intouch Accounting Everdene House, Deansleigh Road, Bournemouth, United Kingdom, BH7 7DU","C/O Intouch Accounting Suite 1, Second Floor, Everdene House, Deansleigh Road, Bournemouth, Dorset, England, BH7 7DU",,,,,,,,,1
