id,name,rank,market_cap,country,share_price,change_1_day,change_1_year,categories
4969e3d2089941c2b44e8915b1ed7b7d,Mastercard,21,$346.18 B,USA,$360.06,-0.21%,12.45%,['Financial services']
cf1bf878b7a7454fae7e101193d06696,Procter & Gamble,18,$356.90 B,USA,$150.61,0.91%,2.27%,"['Dow jones', 'Consumer goods']"
94b30bd26af74dbd9c6885b6da402c19,Eli Lilly,19,$356.08 B,USA,$374.76,1.20%,51.19%,"['Pharmaceuticals', 'Biotech']"
906b1809560343959bb8ca916e30b7e3,Tencent,16,$378.34 B,China,$39.29,3.69%,-34.20%,"['Tech', 'Internet', 'Video games', 'Esports']"
489251b60edd4d0d8f7e1c95daeeb053,Lvmh,17,$376.99 B,France,$753.26,-0.79%,-3.08%,"['Luxury goods', 'CAC 40', 'Clothing']"
6b3b46206aff45e59afa5aa6a8736901,Walmart,14,$415.87 B,USA,$153.22,-0.10%,13.10%,"['Retail', 'Dow jones', 'Supermarket Chains']"
e417ad817dc045779de5fceeea62cfc7,Jpmorgan Chase,15,$396.45 B,USA,$135.16,-0.79%,-16.16%,"['Banks', 'Financial services', 'Dow jones']"
34a10310502d4d2c94f08620a8df4ce9,Nvidia,13,$420.54 B,USA,$168.76,-1.51%,-47.47%,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']"
41d4c285ca7047898f8ed99b61142e28,Tsmc,12,$422.66 B,Taiwan,$81.50,-1.43%,-33.03%,"['Semiconductors', 'Tech', 'Manufacturing', 'Tech Hardware']"
d02f428cc5634437966c808414d77a5f,Exxon Mobil,11,$452.43 B,USA,$109.86,-0.85%,79.28%,"['Oil&Gas', 'Energy']"
395752907c7a42dfa827db8f54465999,Visa,10,$460.99 B,USA,$217.66,0.30%,9.77%,"['Financial services', 'Dow jones']"
08700c77c31744d1aeb8831ea4f42d0b,Johnson & Johnson,9,$467.67 B,USA,$178.88,0.08%,13.87%,"['Pharmaceuticals', 'Dow jones', 'Biotech']"
499d7793accb4ee48e9f1dbb6bdb0da9,Tesla,7,$606.20 B,USA,$194.86,0.08%,-46.10%,"['Automakers', 'Tech', 'Electric Vehicles', 'Bitcoin', 'Manufacturing', 'EV charging', 'Autonomous driving']"
9deb798ece1f47878bbc6afaa6dfbcfe,Unitedhealth,8,$500.96 B,USA,$536.16,0.17%,20.21%,"['Healthcare', 'Insurance', 'Dow jones']"
f7d05b5a4d474c7c981bcf6cc6c86f58,Berkshire Hathaway,6,$696.53 B,USA,$316.15,0.10%,13.28%,['Investment']
8a0478684cbc4862b4d2a4cdb80ae7c8,Amazon,5,$960.28 B,USA,$94.13,-1.43%,-45.23%,"['E-Commerce', 'Internet', 'Tech', 'Retail']"
99fce0cdd3124131896650fe55cfac78,Microsoft,3,$1.901 T,USA,$255.02,0.13%,-22.60%,"['Software', 'Tech', 'Dow jones', 'Video games']"
6a6e230e2c12460a96476b4a74681df1,Alphabet (google),4,$1.303 T,USA,$100.83,-0.44%,-29.87%,"['Internet', 'Tech', 'Software', 'Autonomous driving']"
6d16f018aa574822b31aa9905253d3b9,Saudi Aramco,2,$1.938 T,Saudi Arabia,$8.81,-1.19%,-5.57%,"['Energy', 'Oil&Gas']"
08725aa994694f2a9e8db0a4fa287ed9,Toronto Dominion Bank,100,$125.25 B,Canada,$68.59,0.32%,-8.94%,"['Banks', 'Financial services']"
