id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
54401,54401,13113,Sun Hung Kai & Co. Ltd,Sun Hung Kai & Co,,,,,,,,,,,,,,,,
54411,54411,53084,EMERSON PROCESS MANAGEMENT SRL,EMERSON PROCESS MANAGEMENT,,,,,,,,,,,,,,,,
54413,54413,38472,RCS MediaGroup S.p.A.,RCS MediaGroup,,,,,,,,,,,,,,,,
54416,54416,19241,United Utilities Group Plc,United Utilities Group,,,,,,,,,,,,,,,,
54417,54417,26445,Industrial Bank Co Ltd,Industrial Bank,,,,,,,,,,,,,,,,
54423,54423,28223,Arcosa Inc,Arcosa,,,,,,,,,,,,,,,,
54436,54436,12291,SOFTWARE BRANDS LIMITED,SOFTWARE BRAIN LTD,,,,,,,,,,,,,,,,
54437,54437,15529,Seabridge Gold Inc.,Seabridge Gold,,,,,,,,,,,,,,,,
54440,54440,7767,United States Cellular Corporation,United States Cellular Corp,,,,,,,,,,,,,,,,
54453,54453,25903,H & A VENTURES LTD,H & A VENETIAN LTD,,,,,,,,,,,,,,,,
54462,54462,7973,Lanco Anpara Power,Lanco Amarkantak Power,,,,,,,,,,,,,,,,
54466,54466,13898,Rosneft Oil Co PJSC,Rosneft Oil Co,,,,,,,,,,,,,,,,
54496,54496,36533,IMImobile plc,IMImobile,,,,,,,,,,,,,,,,
54498,54498,5565,China Shipbuilding Industry Company,China Shipbuilding Industry Co Ltd,,,,,,,,,,,,,,,,
54500,54500,40033,Tatva Chintan Pharma Chem Limited,Tatva Chintan Pharma Chem,,,,,,,,,,,,,,,,
54502,54502,7944,National Bank of Greece SA,National Bank of Greece,,,,,,,,,,,,,,,,
54508,54508,40298,"Japan Exchange Group, Inc.",Japan Exchange Group Inc,,,,,,,,,,,,,,,,
54511,54511,33874,Aurubis AG,Aurubis,,,,,,,,,,,,,,,,
54515,54515,16907,Wolverine World Wide Inc,Wolverine World Wide,,,,,,,,,,,,,,,,
54519,54519,14889,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities Corp,,,,,,,,,,,,,,,,
54523,54523,11742,Asia Cement Corp,"Asia Cement Co.,Ltd.",,,,,,,,,,,,,,,,
54526,54526,7517,Park Hotels & Resorts Inc,Park Hotels & Resorts,,,,,,,,,,,,,,,,
54529,54529,26057,Reinsurance Group of America Inc,Reinsurance Group of America,,,,,,,,,,,,,,,,
54540,54540,31519,Covestro Ag,Covestro AG,,,,,,,,,,,,,,,,
54549,54549,18848,Hero Motocorp,Hero MotoCorp Ltd,,,,,,,,,,,,,,,,
54559,54559,34821,Proximus Group,Proximus,,,,,,,,,,,,,,,,
54566,54566,52293,Comture Corp,Comture,,,,,,,,,,,,,,,,
54569,54569,23906,Telecom Italia Sparkle Spa,Telecom Italia Spa,,,,,,,,,,,,,,,,
54572,54572,15356,Deutsche Bank,Deutsche Balaton AG,,,,,,,,,,,,,,,,
54580,54580,24729,Infineon Technologies AG,Infineon Technologies,,,,,,,,,,,,,,,,
54583,54583,1234,BayWa AG,BayWa,,,,,,,,,,,,,,,,
54595,54595,17337,BAD WOLF (HDM3) LIMITED,BAD WOLF (HDM) LTD,,,,,,,,,,,,,,,,
54602,54602,25083,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,China Resources Sanjiu Medical & Pharmaceutical,,,,,,,,,,,,,,,,
54608,54608,38632,Prysmian Spa,Prysmian SpA,,,,,,,,,,,,,,,,
54609,54609,42887,TransUnion LLC,TransUnion,,,,,,,,,,,,,,,,
54611,54611,50461,Shenzhen Hepalink Pharmaceutical Group Co Ltd,Shenzhen Hepalink Pharmaceutical Group,,,,,,,,,,,,,,,,
54615,54615,47040,Bellway plc,Bellway Plc,,,,,,,,,,,,,,,,
54623,54623,9917,GD Power Development Co Ltd,GD Power Development,,,,,,,,,,,,,,,,
54625,54625,37737,Archingest,Archies,,,,,,,,,,,,,,,,
54627,54627,26578,Petroleo Brasileiro SA,Petroleo Brasileiro - Petrobras,,,,,,,,,,,,,,,,
54643,54643,21493,"Nippon Television Holdings, Inc.",Nippon Television Holdings Inc,,,,,,,,,,,,,,,,
54645,54645,30515,Zumiez Inc,Zumiez,,,,,,,,,,,,,,,,
54653,54653,17186,Finning International Inc,Finning International,,,,,,,,,,,,,,,,
54659,54659,25606,Seria Co. Ltd,Seria Co Ltd,,,,,,,,,,,,,,,,
54660,54660,35622,Hainan Airlines Holding Co. Ltd,Hainan Airlines Holding,,,,,,,,,,,,,,,,
54662,54662,21248,Invitation Homes Inc,Invitation Homes,,,,,,,,,,,,,,,,
54675,54675,35921,Nippon Paint Holdings Co. Ltd,Nippon Paint Holdings Co Ltd,,,,,,,,,,,,,,,,
54687,54687,8157,X5 Retail Group Careers,X5 Retail Group,,,,,,,,,,,,,,,,
