id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
11740,11740,2648,La Sarraz Pictures,La Société Des Revêtements,,,,,,,,,,,,,,,http://www.lasarraz.com/,https://www.lsrfrance.com
11912,11912,3266,Canon Inc.,"Canon Marketing Japan, Inc.",,,,,,,,,,,,,,,https://disfold.com/company/canon-inc/,https://disfold.com/company/canon-marketing-japan-inc/
11959,11959,2862,Tenneco Inc,Tenso Floor,,,,,,,,,,,,,,,www.tenneco.com,https://www.teknachemgroup.com
11974,11974,5480,Astro Group,Astron Corporation Limited,,,,,,,,,,,,,,,http://www.astrocorp.com.tw/,https://disfold.com/company/astron-corporation-limited/
11993,11993,1130,GrainCorp Limited,Grainger plc,,,,,,,,,,,,,,,https://disfold.com/company/graincorp-limited/,https://disfold.com/company/grainger-plc/
12044,12044,6940,Vilmorin & Cie,Vim Careers,,,,,,,,,,,,,,,www.vilmorincie.com,www.getvim.com
12072,12072,4602,Victory Tailgate Careers,Vida Health Careers,,,,,,,,,,,,,,,victorytailgate.com,www.vida.com
12085,12085,11194,MyAppFree,MyChauffage.com,,,,,,,,,,,,,,,https://www.myappfree.com/,https://www.mychauffage.com/
12093,12093,363,Signature Aviation Ltd,Signaturit,,,,,,,,,,,,,,,www.signatureaviation.com,https://www.signaturit.com/
12201,12201,4546,Sahamitr Pressure Container Public Company Ltd,Sahathai Terminal Public Company Ltd,,,,,,,,,,,,,,,https://disfold.com/company/sahamitr-pressure-container-public-company-ltd/,https://disfold.com/company/sahathai-terminal-public-company-ltd/
12204,12204,1014,Cassona SE,Cast SA,,,,,,,,,,,,,,,https://disfold.com/company/cassona-se/,https://disfold.com/company/cast-sa/
12229,12229,6238,Filo,FiloBlu,,,,,,,,,,,,,,,https://www.filotrack.com/,https://www.filoblu.com/
12316,12316,1790,WebEngage,Webby Central Careers,,,,,,,,,,,,,,,https://webengage.com/,www.webbycentral.com
12345,12345,8527,Cheng Shin Rubber Ind. Co. Ltd,Cheng Uei Precision Industry Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/cheng-shin-rubber-ind-co-ltd/,https://disfold.com/company/cheng-uei-precision-industry-co-ltd/
12353,12353,4012,CITIC Resources Holdings Ltd,CITIC Telecom International Holdings Ltd,,,,,,,,,,,,,,,https://disfold.com/company/citic-resources-holdings-ltd/,https://disfold.com/company/citic-telecom-international-holdings-ltd/
12387,12387,11765,Green River Holding Co. Ltd,Green World Fintech Service Co. Ltd,,,,,,,,,,,,,,,https://disfold.com/company/green-river-holding-co-ltd/,https://disfold.com/company/green-world-fintech-service-co-ltd/
12421,12421,3969,Reinagreen Italia,Reinsurance Group of America Inc,,,,,,,,,,,,,,,http://www.reinagreen.com,www.rgare.com
12428,12428,6686,Qatar Islamic Bank,Qburst,,,,,,,,,,,,,,,www.qib.com.qa,https://www.qburst.com/
12497,12497,2960,PT Tunas Alfin Tbk,PT Tunas Ridean Tbk,,,,,,,,,,,,,,,https://disfold.com/company/pt-tunas-alfin-tbk/,https://disfold.com/company/pt-tunas-ridean-tbk/
12533,12533,2194,Step Careers,Stepan Co,,,,,,,,,,,,,,,www.step.com,www.stepan.com
12606,12606,11548,Organo Corp,Organon & Co.,,,,,,,,,,,,,,,https://disfold.com/company/organo-corp/,https://disfold.com/company/organon-co/
12621,12621,11103,Periscope Data Careers,Perkbox,,,,,,,,,,,,,,,periscopedata.com,https://www.perkbox.com
12624,12624,11198,Nestle Careers,Nestle SA,,,,,,,,,,,,,,,www.nestle.com,www.nestle.com
