id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
50354,50354,17681,Jinyu Bio-technology Co. Ltd,Jinyu Bio-technology,,,,,,,,,,,,,,,,
50355,50355,47210,Apollo Power Ltd,Apollo Pipes Ltd,,,,,,,,,,,,,,,,
50361,50361,38851,Cleveland-cliffs,Cleveland-Cliffs Inc.,,,,,,,,,,,,,,,,
50367,50367,1944,Bossard Holding Ag,Bossard Holding AG,,,,,,,,,,,,,,,,
50382,50382,37313,SOFTWARE EXPERTS LTD,SOFTWARE EXPERTS GROUP LTD,,,,,,,,,,,,,,,,
50397,50397,22211,Morinaga Milk Industry Co. Ltd,Morinaga Milk Industry Co Ltd,,,,,,,,,,,,,,,,
50399,50399,39877,Tarkett SA,Tarkett,,,,,,,,,,,,,,,,
50402,50402,12274,Crane Co.,Crane,,,,,,,,,,,,,,,,
50403,50403,34143,Captivea,CaptivateIQ,,,,,,,,,,,,,,,,
50406,50406,38286,Electric Power Development Co Ltd,Electric Power Development,,,,,,,,,,,,,,,,
50414,50414,2762,Spectris Plc,Spectris,,,,,,,,,,,,,,,,
50424,50424,31808,"WEC Energy Group, Inc.",WEC Energy Group Inc,,,,,,,,,,,,,,,,
50442,50442,8592,Forever Entertainment SA,Forever Entertainment,,,,,,,,,,,,,,,,
50448,50448,13668,"Arbor Realty Trust, Inc.",Arbor Realty Trust,,,,,,,,,,,,,,,,
50450,50450,9817,"Akamai Technologies, Inc.",Akamai Technologies Inc,,,,,,,,,,,,,,,,
50452,50452,3684,Hulic Co. Ltd,Hulic Co Ltd,,,,,,,,,,,,,,,,
50454,50454,24948,Redde Northgate plc,Redde Northgate Plc,,,,,,,,,,,,,,,,
50463,50463,17100,Guangzhou Rural Commercial Bank Co Ltd,Guangzhou Rural Commercial Bank,,,,,,,,,,,,,,,,
50470,50470,30389,Intco Medical Technology Co Ltd,Intco Medical Technology,,,,,,,,,,,,,,,,
